EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
worldwide,adjective,B2,Dünya çapında,The campaign has gained worldwide attention.,Kampanya dünya çapında dikkat çekti.
worldwide,adverb,A2,Dünya çapında,The brand is known worldwide for its quality.,Marka kalitesiyle dünya çapında tanınır.
worm,noun,B2,solucan,The garden was full of earthworms.,Bahçe toprak solucanlarıyla doluydu.
worn,adjective,B1,yıpranmış,The shoes were old and worn.,Ayakkabılar eski ve yıpranmıştı.
wornout/worn out/worn out,adjective,B2,yıpranmış/yıpranmış/yıpranmış,I need to buy a new jacket this one is worn out.,Yeni bir ceket almam gerekiyor bu ceket yıpranmış.
worried,adjective,A2,endişeli,She was worried about her upcoming exams.,Yaklaşan sınavları hakkında endişeliydi.
worry,noun,A1,endişelenmek,Theres no need for worry everything will be fine.,Endişelenmeye gerek yok her şey yolunda gidecek.
worry,verb,A2,endişelenmek,Dont worry we will find a solution.,Endişelenme bir çözüm bulacağız.
worrying,adjective,B2,endişe verici,The increasing pollution levels are worrying.,Artan kirlilik seviyeleri endişe verici.
worse,adjective,A2,daha kötüsü,This situation is worse than I expected.,Bu durum beklediğimden daha kötü.
worse,adverb,A2,daha kötüsü,Things can always get worse if we are not careful.,Dikkat etmezsek her zaman daha kötüleşebilir.
worse,noun,B2,daha kötüsü,The worse of the two options is clearly the second one.,İki seçenekten daha kötüsü açıkça ikinci olanıdır.
worsen,verb,B2,kötüleştirmek,The economic situation will worsen if no action is taken.,Hiçbir önlem alınmazsa ekonomik durum kötüleşecek.
worship,noun,B2,tapmak,Worship in many cultures includes music and dance.,Birçok kültürde ibadet müzik ve dans içerir.
worst,adjective,A2,en kötüsü,This is the worst movie I have ever seen.,Bu şimdiye kadar izlediğim en kötü filmdir.
worst,adverb,B2,en kötüsü,He performed the worst of the group.,Grubun en kötü performansını sergiledi.
worst,noun,B1,en kötüsü,I want to avoid the worst in any situation.,Herhangi bir durumda en kötüsünden kaçınmak istiyorum.
worth,adjective,B1,değer,This painting is worth a lot of money.,Bu tablo çok para ediyor.
worthless,adjective,B2,değersiz,This old phone is worthless now.,Bu eski telefon şimdi değersiz.
worthwhile,adjective,B1,değerli,Volunteering can be a worthwhile experience.,Gönüllü olmak değerli bir deneyim olabilir.
worthy,adjective,B1,saygıdeğer,She is a worthy candidate for the award.,O ödül için saygıdeğer bir adayıdır.
would,modal auxiliary,A1,istemek,I would love to visit Paris someday.,Bir gün Parisi ziyaret etmek isterim.
wound,noun,B1,yara,He has a wound on his arm from the accident.,Kazadan dolayı kolunda bir yara var.
wound,verb,B2,yara,The doctor had to wound the skin to stitch it up.,Doktorun dikiş atmak için cildi yaralaması gerekiyordu.
wrap,noun,B1,dürüm,He ordered a wrap for lunch.,Öğle yemeği için bir dürüm sipariş etti.
wrap,verb,B1,dürüm,Please wrap the gifts nicely.,Lütfen hediyeleri güzelce sar.
wrapping,noun,B1,sarma,The wrapping on the package was beautiful.,Paketin sarma kısmı güzeldi.
wreck,noun,B2,enkaz,They found the wreck of the ship after the storm.,Fırtınadan sonra geminin enkazını buldular.
wrist,noun,B1,bilek,He wore a bracelet on his wrist.,Bileğinde bir bilezik vardı.
wristwatch,noun,B1,kol saati,I need to buy a new wristwatch.,Yeni bir kol saati almam gerekiyor.
write,verb,A1,yazmak,I like to write stories in my free time.,Boş zamanlarımda hikayeler yazmayı severim.
writer,noun,A1,yazar,The writer is giving a talk at the library.,Yazar kütüphanede bir konuşma yapıyor.
writing,noun,A2,yazı,Her writing is very expressive.,Onun yazısı çok etkileyicidir.
written,adjective,B1,yazılı,The written instructions were clear.,Yazılı talimatlar açıktı.
wrong,adjective,A1,yanlış,That answer is wrong.,O cevap yanlış.
wrong,adverb,A2,yanlış,You guessed wrong this time.,Bu sefer yanlış tahmin ettin.
wrongly,adverb,B2,yanlış,He was wrongly accused of the crime.,O suçla yanlış bir şekilde itham edildi.
X ray,noun,B2,Röntgen,The doctor took an X ray of my leg.,Doktor bacağımın röntgenini çekti.
yacht,noun,B2,yat,They sailed across the bay on their new yacht.,Yeni yatlarıyla koydan geçtiler.
yard,noun,A1,bahçe,The kids are playing in the yard.,Çocuklar bahçede oynuyor.
yawn,noun,B2,esnemek,I couldnt stop the yawn during the lecture.,Derste esnemeyi durduramadım.
yawn,verb,B2,esnemek,He began to yawn as the movie went on.,Film devam ederken esnemeye başladı.
yeah,adverb,A2,Evet,Yeah I would love to go!,Evet gitmek isterim!
year,noun,A1,yıl,This year has been challenging.,Bu yıl zorlayıcı oldu.
yearn,verb,B2,burnunda tütmek,She yearns for a peaceful life.,Huzurlu bir yaşamı özlüyor.
yell,noun,B1,bağırmak,There was a yell from the crowd.,Kalabalıktan bir bağırış duyuldu.
yell,verb,B2,bağırmak,Dont yell at me Im just trying to help!,Bana bağırma sadece yardım etmeye çalışıyorum!
yellow,adjective,A1,sarı,The sun is yellow in the morning.,Güneş sabah sarıdır.
yellow,noun,A1,sarı,She wore a dress that was bright yellow.,Parlak sarı bir elbise giydi.
yes,adverb,A1,Evet,Yes I agree with you.,Evet seninle aynı fikirdeyim.
yesterday,adverb,A1,Dün,I saw her yesterday at the market.,Onu dün markette gördüm.
yet,adverb,A1,henüz,I havent finished my homework yet.,Henüz ödevimi bitirmedim.
yet,conjunction,B1,henüz,I cant believe he did it yet.,Henüz bunu yaptığını inanamıyorum.
yield,verb,B2,teslim olmak,The land will yield a good harvest this year.,Arazi bu yıl iyi bir hasat verecek.
yoga,noun,B1,yoga,I practice yoga every morning.,Her sabah yoga yaparım.
yogurt/yoghurt,noun,A1,yoğurt,I like to eat yogurt with fruit.,Meyve ile yoğurt yemeyi severim.
you,pronoun,A1,Sen,You are my best friend.,Sen en iyi arkadaşımsın.
young,adjective,A1,genç,The young boy is playing outside.,Genç çocuk dışarıda oynuyor.
your,determiner,A1,senin,Your bag is on the table.,Senin çantan masanın üstünde.
yours,pronoun,A1,senin,Is this book yours?,Bu kitap senin mi?
yourself,pronoun,A1,kendin,Take care of yourself.,Kendine dikkat et.
youth,noun,A2,gençlik,Youth is a time of exploration.,Gençlik keşif zamanıdır.
youthful,adjective,B2,genç,She has a youthful spirit despite her age.,Yaşına rağmen genç bir ruhu var.
yummy,adjective,B2,lezzetli,This cake is absolutely yummy!,Bu kek gerçekten lezzetli!
zebra,noun,B2,zebra,A zebra is a unique animal with black and white stripes.,Zebra siyah beyaz çizgileri olan benzersiz bir hayvandır.
zip,noun,B2,zip,The zip on my jacket broke.,Ceketimin zipi kırıldı.
zone,noun,A2,alan,We live in a quiet zone away from traffic.,Trafikten uzakta sessiz bir alanda yaşıyoruz.
zoo,noun,A1,hayvanat bahçesi,We visited the zoo last weekend.,Geçen hafta sonu hayvanat bahçesini ziyaret ettik.
zoom,noun,B2,yakınlaştırma,The camera has a powerful zoom feature.,Kameranın güçlü bir yakınlaştırma özelliği var.
exterior,noun,C1,dış,The exterior of the building needs painting.,Binanın dışı boyaya ihtiyacı var.
cloak,noun,C1,pelerin,The magician wore a long cloak during the performance.,Sihirbaz gösteri sırasında uzun bir pelerin giyiyordu.
timid,adjective,C1,ürkek,She gave a timid smile when she met new people.,Yeni insanlarla tanıştığında ürkek bir gülümseme verdi.
reluctantly,adverb,C1,isteksizce,He reluctantly agreed to help with the project.,İsteksizce projeye yardım etmeyi kabul etti.
complexity,noun,C1,karmaşıklık,The complexity of the issue requires careful analysis.,Meselenin karmaşıklığı dikkatli bir analiz gerektirir.
concur,verb,C1,hemfikir olmak,I concur with your assessment of the situation.,Durumu değerlendirmede seninle hemfikirim.
avid,adjective,C1,hırslı,She is an avid reader who finishes several books a month.,O ayda birkaç kitap bitiren hırslı bir okuyucudur.
marvel,verb,C1,hayret,We can only marvel at the beauty of nature.,Sadece doğanın güzelliğine hayret edebiliriz.
wing,noun,C1,kanat,The bird spread its wings and flew into the sky.,Kuş kanatlarını açarak gökyüzüne uçtu.
enviable,adjective,C1,kıskanılacak,They have an enviable lifestyle full of adventure.,Macera dolu kıskanılacak bir yaşam tarzına sahipler.
organizational,adjective,C1,organizasyonel,The organizational structure needs to be improved.,Organizasyonel yapı iyileştirilmelidir.
psychiatrist,noun,C1,psikiyatrist,The psychiatrist recommended therapy for her anxiety.,Psikiyatrist kaygısı için terapi önerdi.
psychiatric,adjective,C1,psikiyatrik,He works in a psychiatric hospital.,O psikiyatrik hastanede çalışıyor.
clinical,adjective,C1,klinik,She specializes in clinical psychology.,Klinik psikoloji dalında uzmanlaşmıştır.
corps,noun,C1,kolordu,The corps was deployed for the humanitarian mission.,Kolordu insani yardım misyonu için görevlendirildi.
forensic,adjective,C1,adli,Forensic evidence played a key role in the trial.,Adli deliller duruşmada önemli bir rol oynadı.
juvenile,noun,C1,genç,The juvenile committed a minor offense.,Genç küçük bir suç işledi.
juvenile,adjective,C1,genç,Juvenile crime is a serious issue in many societies.,Genç suç birçok toplumda ciddi bir sorundur.
jurisdiction,noun,C1,yargı yetkisi,The case falls under the jurisdiction of this court.,Bu dava bu mahkemenin yargı yetkisine giriyor.
accustomed,adjective,C1,alışılmış,He is accustomed to working late hours.,Gece geç saatlere kadar çalışmaya alışkındır.
trauma,noun,C1,travma,The accident caused her significant emotional trauma.,Kaza ona önemli bir duygusal travma yaşattı.
traumatic,adjective,C1,travmatik,They experienced traumatic events during the war.,Savaş sırasında travmatik olaylar yaşadılar.
constraint,noun,C1,kısıtlama,Time constraints made it difficult to finish the project.,Zaman kısıtlamaları projeyi tamamlamayı zorlaştırdı.
revealing,adjective,C1,açıklayıcı,The documentary provided revealing insights into the issue.,Belgesel konu hakkında açıklayıcı bilgiler sağladı.
eccentric,adjective,C1,eksantrik,His eccentric behavior often surprises his friends.,Onun eksantrik davranışları genellikle arkadaşlarını şaşırtır.
sanctity,noun,C1,kutsallık,The sanctity of life is a fundamental principle.,Hayatın kutsallığı temel bir ilkedir.
conform,verb,C1,uymak,We must conform to the new regulations.,Yeni düzenlemelere uymalıyız.
norms,noun,C1,normlar,Social norms dictate how we interact with others.,Sosyal normlar diğerleriyle nasıl etkileşimde bulunacağımızı belirler.
quirk,noun,C1,tuhaflık,Everyone has their own little quirk that makes them unique.,Herkesin onları benzersiz kılan küçük tuhaflıkları vardır.
oddity,noun,C1,tuhaflık,The oddity of the situation left everyone speechless.,Durumun tuhaflığı herkesi sessiz bıraktı.
compel,verb,C1,zorlamak,The evidence compelled the jury to reach a verdict.,Deliller jüriyi bir karara ulaşmaya zorladı.
compulsion,noun,C1,mecburiyet,He felt a compulsion to help others in need.,İhtiyaç sahibi insanlara yardım etme zorunluluğu hissetti.
conceive,verb,C1,hamile kalmak,They conceived their child after years of trying.,Yıllar süren denemelerden sonra çocuk sahibi oldular.
conceivable,adjective,C1,makul,It is conceivable that the project will be completed on time.,Projenin zamanında tamamlanması makuldür.
assertion,noun,C1,iddia,Her assertion was supported by solid evidence.,Onun iddiası sağlam delillerle desteklendi.
individuality,noun,C1,bireysellik,Individuality is celebrated in modern societies.,Bireysellik modern toplumlarda kutlanmaktadır.
psyche,noun,C1,ruh,The psyche can be a complex and mysterious aspect of human nature.,Ruh insan doğasının karmaşık ve gizemli bir yönü olabilir.
conformity,noun,C1,uygunluk,The companys conformity to industry standards is essential.,Şirketin sektör standartlarına uygunluğu önemlidir.
unconventional,adjective,C1,alışılmamış,His unconventional approach led to innovative solutions.,Alışılmamış yaklaşımı yenilikçi çözümlere yol açtı.
congregate,verb,C1,toplanmak,People congregate in the square for the festival.,İnsanlar festival için meydanda toplanır.
rally,verb,C1,miting,They plan to rally for climate change awareness.,İklim değişikliği farkındalığı için miting düzenlemeyi planlıyorlar.
resent,verb,C1,Yeniden gönderilen,She resented being treated unfairly.,Haksız muamele gördüğü için kızgınlık duydu.
self conscious,adjective,C1,içine kapanık,She felt self conscious about her appearance.,Görünümü hakkında içine kapalı hissetti.
wary,adjective,C1,ihtiyatlı,He was wary of strangers in unfamiliar places.,Tanımadık yerlerde yabancılara karşı ihtiyatlıydı.
stoke,verb,C1,ateş etmek,They stoke the fire to keep warm during winter.,Kışın ısınmak için ateşi yakarlar.
dynamically,adverb,C1,dinamik olarak,The market is changing dynamically with new technology.,Pazar yeni teknolojilerle dinamik olarak değişiyor.
hostess,noun,C1,hostes,The hostess greeted the guests warmly.,Hostes misafirleri sıcak bir şekilde karşıladı.
perpetuate,verb,C1,sürdürmek,They aim to perpetuate their traditions through education.,Geleneklerini eğitim yoluyla sürdürmeyi hedefliyorlar.
naturalness,noun,C1,doğallık,The naturalness of her performance impressed everyone.,Performansındaki doğallık herkesi etkiledi.
exhibitionist,noun,C1,teşhirci,The exhibitionist enjoyed drawing attention to himself.,Teşhirci dikkat çekmeyi seviyordu.
isolate,verb,C1,izole etmek,Its important not to isolate yourself from friends.,Kendinizi arkadaşlarınızdan izole etmemek önemlidir.
isolated,adjective,C1,yalıtılmış,They lived in an isolated community far from the city.,Şehirden uzakta izole bir toplulukta yaşıyorlardı.
humble,verb,C1,mütevazı,He remains humble despite his success.,Başarısına rağmen mütevazı kalıyor.
humble,adjective,C1,mütevazı,The humble teacher inspired her students.,Mütevazı öğretmen öğrencilerine ilham verdi.
refreshingly,adverb,C1,canlandırıcı bir şekilde,The weather was refreshingly cool after the rain.,Yağmurdan sonra hava canlandırıcı bir şekilde serinledi.
effortless,adjective,C1,zahmetsiz,Her performance seemed effortless and natural.,Onun performansı zahmetsiz ve doğal görünüyordu.
vegetation,noun,C1,bitki örtüsü,The area is rich in vegetation and wildlife.,Bölge bitki örtüsü ve yaban hayatı açısından zengindir.
brief,verb,C1,kısa bilgi,Please brief me on the latest updates.,Lütfen bana en son güncellemeleri kısa bilgi ver.
respite,noun,C1,mola,The weekend offered a much needed respite from work.,Hafta sonu işten çok ihtiyaç duyulan bir molayı sundu.
suffice,verb,C1,yeterli,A brief explanation will suffice for now.,Kısa bir açıklama şu anda yeterli olacaktır.
purity,noun,C1,saflık,The purity of the water is essential for health.,Suyun saflığı sağlık için gereklidir.
gruelling,adjective,C1,yorucu,The marathon was a gruelling test of endurance.,Maraton dayanıklılık açısından yorucu bir testti.
cast,noun,C1,döküm,The cast of the play was very talented.,Oyunun kadrosu çok yetenekliydi.
cast,verb,C1,döküm,They cast the statue in bronze.,Heykeli bronzdan döktüler.
cast,verb,C1,döküm,The film was cast with some famous actors.,Film bazı ünlü aktörlerle döküldü.
comprise,verb,C1,içermek,The committee is comprised of experts in various fields.,Komite çeşitli alanlarda uzmanlardan oluşmaktadır.
plaster,noun,C1,alçı,They used plaster to repair the walls.,Duvarları onarmak için alçı kullandılar.
plaster,verb,C1,alçı,He plans to plaster the ceiling next week.,Gelecek hafta tavanı alçılamayı planlıyor.
darkroom,noun,C1,karanlık oda,The photographer developed the film in a darkroom.,Fotoğrafçı filmi karanlık odada geliştirdi.
induct,verb,C1,devreye sokmak,They plan to induct new members into the organization.,Kuruluşa yeni üyeleri devreye sokmayı planlıyorlar.
induction,noun,C1,tümevarım,The induction of new policies will take time.,Yeni politikaların devreye girmesi zaman alacak.
stock,verb,C1,stoklamak,The store will stock more supplies next week.,Dükkan gelecek hafta daha fazla malzeme stoklayacak.
fossil,noun,C1,fosil,The fossil was found in a layer of sediment.,Fosil bir tortul katmanda bulundu.
geological,adjective,C1,jeolojik,Geological studies provide insights into Earths history.,Jeolojik çalışmalar Dünyanın tarihine dair bilgiler sunar.
geologically,adverb,C1,jeolojik olarak,The area is significant geologically due to its formations.,Bölge oluşumları nedeniyle jeolojik olarak önemlidir.
house,verb,C1,ev,They house the collection in a secure facility.,Koleksiyonu güvenli bir tesiste barındırıyorlar.
specimen,noun,C1,örnek,The scientist examined the specimen under a microscope.,Bilim insanı örneği bir mikroskop altında inceledi.
enormously,adverb,C1,son derece,The project has grown enormously over the last year.,Proje geçen yıl boyunca son derece büyüdü.
gem,noun,C1,mücevher,She received a beautiful gem as a gift.,Ona güzel bir mücevher hediye edildi.
explanatory,adjective,C1,açıklayıcı,The teacher provided explanatory notes for the lesson.,Öğretmen ders için açıklayıcı notlar sağladı.
vertical,adjective,C1,dik,The vertical lines give the painting a dynamic look.,Dikey çizgiler tabloya dinamik bir görünüm kazandırır.
knowledgeable,adjective,C1,bilgili,He is a knowledgeable guide with years of experience.,O yılların deneyimine sahip bilgili bir rehberdir.
ordinarily,adverb,C1,normalde,Ordinarily I prefer to stay home on weekends.,Normalde hafta sonları evde kalmayı tercih ederim.
hanging,noun,C1,asılı,The hanging of the artwork was carefully planned.,Sanat eserinin asılı durumu dikkatlice planlandı.
hanging,noun,C1,asılı,The hanging in the gallery was impressive.,Galerideki asılı durum etkileyiciydi.
tomb,noun,C1,mezar,The ancient tomb was discovered during the excavation.,Antik mezar kazı sırasında keşfedildi.
formulate,verb,C1,formüle etmek,They need to formulate a plan before proceeding.,İlerlemeye geçmeden önce bir plan formüle etmeleri gerekiyor.
resin,noun,C1,reçine,The sculpture was made from a special type of resin.,Heykel özel bir reçine türünden yapıldı.
sacrifice,noun,C1,kurban etmek,He made a sacrifice for the greater good.,O daha büyük bir iyilik için bir fedakarlık yaptı.
sacrifice,verb,C1,kurban etmek,Many soldiers sacrifice their lives for their country.,Birçok asker ülkeleri için hayatlarını feda ediyor.
cleanly,adverb,C1,temiz,He cut the paper cleanly with scissors.,Kağıdı makasla temiz bir şekilde kesti.
endorsement,noun,C1,onay,The product received a celebrity endorsement.,Ürün bir ünlünün onayını aldı.
stretching,noun,C1,germe,Stretching before exercise is important.,Egzersiz öncesi germe yapmak önemlidir.
continuity,noun,C1,süreklilik,The continuity of the series kept viewers engaged.,Dizinin sürekliliği izleyicileri meşgul tuttu.
shambles,noun,C1,darmadağınık,The meeting ended in shambles due to poor planning.,Toplantı kötü planlama nedeniyle darmadağınık bir şekilde sona erdi.
claustrophobic,adjective,C1,klostrofobik,She felt claustrophobic in the small room.,Küçük odada klostrofobik hissetti.
claustrophobia,noun,C1,klostrofobi,Claustrophobia can cause anxiety in crowded spaces.,Klostrofobi kalabalık alanlarda kaygıya neden olabilir.
headstrong,adjective,C1,inatçı,His headstrong attitude often leads to conflicts.,Onun inatçı tavrı genellikle çatışmalara yol açar.
tact,noun,C1,incelik,She handled the situation with great tact.,Durumu büyük bir incelikle yönetti.
tactful,adjective,C1,incelikli,A tactful approach can ease many tensions.,İncelikli bir yaklaşım birçok gerginliği hafifletebilir.
tactfully,adverb,C1,düşünceli,She tactfully navigated the conversation.,Düşünceli bir şekilde konuşmayı yönetti.
blister,noun,C1,kabarcık,He developed a blister on his heel after hiking.,Yürüyüş yaptıktan sonra topuğunda kabarcık oluştu.
blister,verb,C1,kabarcık,The heat can blister your skin if youre not careful.,Dikkat etmezseniz sıcaklık cildinizi kabarcıklaştırabilir.
sponsorship,noun,C1,sponsorluk,The event received sponsorship from several companies.,Etkinlik birkaç şirketten sponsorluk aldı.
ego,noun,C1,benlik,His ego often gets in the way of his relationships.,Onun benliği sıklıkla ilişkilerinin önüne geçer.
class,verb,C1,sınıf,The students were classed according to their ability.,Öğrenciler yeteneklerine göre sınıflandırıldı.
saloon,noun,C1,salon,They enjoyed a drink in the saloon after the show.,Gösteriden sonra salonda bir içki içtiler.
lap,noun,C1,kucak,The cat jumped into my lap while I was reading.,Kedi okurken kucaklarıma atladı.
beforehand,adverb,C1,önceden,Please let me know beforehand if you can attend.,Katılacağınızı önceden bildirirseniz sevinirim.
slob,noun,C1,salak,Hes a slob who never cleans his room.,O asla odasını temizlemeyen bir salak.
coverage,noun,C1,kapsama,The media coverage of the event was extensive.,Etkinliğin medya kapsamı genişti.
unplug,verb,C1,fişini çek,Dont forget to unplug the charger after use.,Kullanımdan sonra şarj cihazının fişini çekmeyi unutmayın.
gadget,noun,C1,alet,This gadget makes cooking much easier.,Bu alet yemek yapmayı çok daha kolaylaştırıyor.
rediscover,verb,C1,yeniden keşfetmek,She hopes to rediscover her passion for painting.,Resim yapma tutkusunu yeniden keşfetmeyi umuyor.
subtly,adverb,C1,incelikle,The artist subtly incorporated themes into her work.,Sanatçı işine temaları incelikle dahil etti.
brainwash,verb,C1,beyin yıkama,They tried to brainwash the children with propaganda.,Propaganda ile çocukları beyin yıkamaya çalıştılar.
brainwashing,noun,C1,beyin yıkama,Brainwashing can have lasting effects on individuals.,Beyin yıkama bireyler üzerinde kalıcı etkiler yaratabilir.
implicate,verb,C1,bulaştırmak,The evidence might implicate several people in the crime.,Deliller birkaç kişiyi suça bulaştırabilir.
craft,verb,C1,zanaat,She loves to craft beautiful handmade jewelry.,Güzel el yapımı takılar yapmayı sever.
malfunction,verb,C1,arıza,The machine may malfunction if not properly maintained.,Makine düzgün bakım yapılmadığında arıza yapabilir.
dependent,noun,C1,bağımlı,He is a dependent on his parents for support.,Destek için ebeveynlerine bağımlıdır.
wayside,noun,C1,yol kenarı,They stopped at the wayside for a quick break.,Hızlı bir mola vermek için yol kenarında durdular.
expire,verb,C1,süresi dolmak,Your subscription will expire next month.,Aboneliğiniz gelecek ay sona erecek.
con,verb,C1,dolandırıcılık,They tried to con her out of her money.,Onu dolandırmaya çalıştılar.
con,noun,C1,dolandırıcılık,The con was too clever to be easily detected.,Dolandırıcılık çok zekiceydi kolayca tespit edilemedi.
puzzle,verb,C1,bulmaca,The mystery continued to puzzle investigators.,Gizem soruşturmacıları bulmacaya sürmeye devam etti.
damply,adverb,C1,nemli,The ground was damply after the rain.,Yağmurdan sonra zemin nemliydi.
ghostly,adjective,C1,hayaletimsi,The ghostly figure appeared in the fog.,Hayaletimsi figür sisin içinde belirdi.
carrier,noun,C1,taşıyıcı,The carrier delivered the package on time.,Taşıyıcı paketi zamanında teslim etti.
washtub,noun,C1,leğen,She filled the washtub with warm water.,Leğeni sıcak suyla doldurdu.
apt,adjective,C1,uygun,He is apt to forget his keys if hes in a hurry.,Acele ettiğinde anahtarlarını unutmaya eğilimlidir.
apt to,verb,C1,uygun,She is apt to make mistakes when shes tired.,Yorgun olduğunda hata yapma eğilimindedir.
portable,adjective,C1,taşınabilir,This portable speaker is perfect for travel.,Bu taşınabilir hoparlör seyahat için mükemmeldir.
portable,noun,C1,taşınabilir,They used a portable for the presentation.,Sunum için bir taşınabilir kullandılar.
ornamental,adjective,C1,süs,The ornamental plants added beauty to the garden.,Süs bitkileri bahçeye güzellik kattı.
placid,adjective,C1,sakin,The placid lake reflected the clear blue sky.,Sakin göl berrak mavi gökyüzünü yansıtıyordu.
placidly,adverb,C1,uysallıkla,He placidly accepted the news without any complaint.,O haberi uysallıkla kabul etti herhangi bir şikayette bulunmadı.
unmanageable,adjective,C1,yönetilemez,The workload was unmanageable for the team.,İş yükü ekip için yönetilemezdi.
appliance,noun,C1,cihaz,This kitchen appliance makes cooking easier.,Bu mutfak aleti yemek yapmayı kolaylaştırır.
relinquish,verb,C1,vazgeçmek,They had to relinquish control of the company.,Şirketin kontrolünü bırakmak zorunda kaldılar.
tedious,adjective,C1,sıkıcı,The process was long and tedious.,Süreç uzun ve sıkıcıydı.
tedium,noun,C1,bezginlik,The tedium of the routine made him feel restless.,Rutinin bezginliği onu huzursuz hissettiriyordu.
exert,verb,C1,çaba harcamak,You need to exert yourself more to succeed.,Başarılı olmak için daha çok çaba harcamanız gerekiyor.
extortion,noun,C1,gasp,He was charged with extortion after demanding money.,Parayı talep ettikten sonra gasp suçlamasıyla karşı karşıya kaldı.
alleviate,verb,C1,hafifletmek,The medication helped alleviate the pain.,İlaç acıyı hafifletmeye yardımcı oldu.
elaborate,adjective,C1,detaylandırmak,The report provided an elaborate explanation.,Rapor detaylı bir açıklama sundu.
elaborate,verb,C1,detaylandırmak,Please elaborate on your ideas during the meeting.,Lütfen toplantı sırasında fikirlerinizi detaylandırın.
elaboration,noun,C1,detaylandırma,The elaboration of the plan took several weeks.,Planın detaylandırılması birkaç hafta sürdü.
detest,verb,C1,nefret etmek,I detest doing laundry on weekends.,Hafta sonları çamaşır yıkamaktan nefret ediyorum.
detestable,adjective,C1,iğrenç,His behavior was absolutely detestable.,Onun davranışları tamamen iğrençti.
suds,noun,C1,köpük,The dish soap created a lot of suds.,Bulaşık sabunu çok fazla köpük oluşturdu.
agreeable,adjective,C1,hoş,She has an agreeable personality that everyone likes.,Onun herkesin sevdiği hoş bir kişiliği var.
prowl,verb,C1,sinsi sinsi dolaşmak,The cat prowled around the garden at night.,Kedi gece bahçede sinsi sinsi dolaşıyordu.
speculate,verb,C1,spekülasyon yapmak,Its difficult to speculate on the outcome of the case.,Davanın sonucunu spekülasyon yapmak zor.
speculation,noun,C1,spekülasyon,There was much speculation about the reasons for her departure.,Onun ayrılma nedenleri hakkında çok fazla spekülasyon vardı.
speculative,adjective,C1,spekülatif,The speculative nature of the market makes it risky.,Piyasanın spekülatif doğası onu riskli hale getiriyor.
peacock,noun,C1,tavuskuşu,The peacock displayed its feathers proudly.,Tavuskuşu tüylerini gururla sergiledi.
disdain,noun,C1,küçümsemek,She looked at him with disdain after his comment.,Yorumundan sonra ona küçümseyerek baktı.
reenact,verb,C1,yeniden canlandırmak,They will reenact the famous battle for the festival.,Festival için ünlü savaşı yeniden canlandıracaklar.
torment,verb,C1,azap,The memories continued to torment him for years.,Anılar onu yıllarca azap etti.
torment,noun,C1,azap,He lived in constant torment after the accident.,Kaza sonrası sürekli bir azap içinde yaşadı.
extravagance,noun,C1,savurganlık,The party was filled with extravagance and luxury.,Parti savurganlık ve lüks ile doluydu.
exploit,verb,C1,faydalanmak,They exploit their resources wisely.,Kaynaklarını akıllıca kullanıyorlar.
exploitation,noun,C1,sömürü,The exploitation of workers is a serious issue.,İşçilerin sömürüsü ciddi bir meseledir.
mechanism,noun,C1,mekanizma,The mechanism of the watch is quite complex.,Saatin mekanizması oldukça karmaşıktır.
hence,adverb,C1,buradan,He is the best candidate hence he should be selected.,O en iyi adaydır bu yüzden seçilmelidir.
offspring,noun,C1,yavru,The offspring of the animals were playing in the grass.,Hayvanların yavruları çimenlerde oynuyordu.
implicate,verb,C1,bulaştırmak,The evidence may implicate several suspects.,Deliller birkaç şüpheliyi bulaştırabilir.
fit,adjective,C1,yerleştirmek,This dress is fit for a queen.,Bu elbise bir kraliçeye uygun.
oblige,verb,C1,mecbur etmek,They are obliged to follow the rules.,Kurallara uymak zorundalar.
drive,verb,C1,sürmek,He will drive to the meeting tomorrow.,Yarın toplantıya gidecek.
drive,noun,C1,sürmek,The drive to succeed motivated her.,Başarı arzusu onu motive etti.
collaborate,verb,C1,işbirliği yapmak,They decided to collaborate on the project.,Projede işbirliği yapmaya karar verdiler.
collaborator,noun,C1,işbirlikçi,He is a key collaborator in the research.,O araştırmada önemli bir işbirlikçidir.
collaboration,noun,C1,işbirliği,Their collaboration resulted in a successful outcome.,İşbirlikleri başarılı bir sonuçla sonuçlandı.
collaborative,adjective,C1,işbirlikçi,The collaborative approach was effective in solving problems.,İşbirlikçi yaklaşım sorunları çözmede etkili oldu.
showy,adjective,C1,gösterişli,The showy decorations attracted everyones attention.,Gösterişli süslemeler herkesin dikkatini çekti.
wrangle,verb,C1,çekişmek,They would wrangle over trivial matters.,Önemsiz konular üzerinde çekişirlerdi.
premise,noun,C1,Öncül,The premise of the argument was flawed.,Argümanın öncülü hatalıydı.
advantageous,adjective,C1,avantajlı,This new plan is advantageous for the company.,Bu yeni plan şirket için avantajlıdır.
parasite,noun,C1,parazit,The parasite can affect the health of its host.,Parazit konukçusunun sağlığını etkileyebilir.
fanciful,adjective,C1,hayali,His fanciful ideas often entertained us.,Onun hayali fikirleri bizi sık sık eğlendirdi.
poise,noun,C1,denge,She held her poise even in difficult situations.,Zor durumlarda bile dengesini korudu.
customary,adjective,C1,geleneksel,It is customary to give gifts at weddings.,Düğünlerde hediye vermek gelenekseldir.
